,matchID,championID,position,win,kda
13080,KR_5936575946,887,TOP,True,1.2
13081,KR_5936575946,64,JUNGLE,True,3.5714285714285716
13082,KR_5936575946,103,MIDDLE,True,1.7777777777777777
13083,KR_5936575946,498,BOTTOM,True,2.6666666666666665
13084,KR_5936575946,235,UTILITY,True,2.7777777777777777
13085,KR_5936575946,84,TOP,False,5.0
13086,KR_5936575946,131,JUNGLE,False,2.3636363636363638
13087,KR_5936575946,91,MIDDLE,False,3.142857142857143
13088,KR_5936575946,145,BOTTOM,False,2.4285714285714284
13089,KR_5936575946,111,UTILITY,False,2.4285714285714284
13090,KR_6002636088,887,TOP,False,2.0
13091,KR_6002636088,64,JUNGLE,False,1.1428571428571428
13092,KR_6002636088,112,MIDDLE,False,0.5
13093,KR_6002636088,145,BOTTOM,False,1.1666666666666667
13094,KR_6002636088,111,UTILITY,False,0.75
13095,KR_6002636088,84,TOP,True,8.0
13096,KR_6002636088,104,JUNGLE,True,6.666666666666667
13097,KR_6002636088,4,MIDDLE,True,13.0
13098,KR_6002636088,498,BOTTOM,True,6.333333333333333
13099,KR_6002636088,201,UTILITY,True,27.0
13100,KR_6002752860,68,TOP,False,1.6
13101,KR_6002752860,78,JUNGLE,False,3.3333333333333335
13102,KR_6002752860,517,MIDDLE,False,0.875
13103,KR_6002752860,145,BOTTOM,False,1.6
13104,KR_6002752860,32,UTILITY,False,1.25
13105,KR_6002752860,79,TOP,True,3.25
13106,KR_6002752860,106,JUNGLE,True,4.0
13107,KR_6002752860,42,MIDDLE,True,9.5
13108,KR_6002752860,81,BOTTOM,True,4.25
13109,KR_6002752860,43,UTILITY,True,4.25
13110,KR_5936761103,875,TOP,False,2.4
13111,KR_5936761103,59,JUNGLE,False,5.75
13112,KR_5936761103,163,MIDDLE,False,2.6
13113,KR_5936761103,145,BOTTOM,False,2.0
13114,KR_5936761103,111,UTILITY,False,2.3333333333333335
13115,KR_5936761103,150,TOP,True,1.1666666666666667
13116,KR_5936761103,104,JUNGLE,True,2.2857142857142856
13117,KR_5936761103,711,MIDDLE,True,8.0
13118,KR_5936761103,236,BOTTOM,True,3.0
13119,KR_5936761103,89,UTILITY,True,1.8571428571428572
13120,KR_6002872162,79,TOP,True,13.0
13121,KR_6002872162,76,JUNGLE,True,4.0
13122,KR_6002872162,200,MIDDLE,True,3.6666666666666665
13123,KR_6002872162,222,BOTTOM,True,14.0
13124,KR_6002872162,888,UTILITY,True,11.0
13125,KR_6002872162,887,TOP,False,0.2
13126,KR_6002872162,163,MIDDLE,False,0.8
13127,KR_6002872162,234,JUNGLE,False,0.5
13128,KR_6002872162,523,BOTTOM,False,0.3333333333333333
13129,KR_6002872162,32,UTILITY,False,0.375
13130,KR_5936676354,85,TOP,True,7.5
13131,KR_5936676354,62,JUNGLE,True,7.5
13132,KR_5936676354,266,MIDDLE,True,1.75
13133,KR_5936676354,81,BOTTOM,True,5.0
13134,KR_5936676354,43,UTILITY,True,2.4
13135,KR_5936676354,5,TOP,False,0.07692307692307693
13136,KR_5936676354,20,JUNGLE,False,1.6
13137,KR_5936676354,238,MIDDLE,False,1.75
13138,KR_5936676354,18,BOTTOM,False,1.6
13139,KR_5936676354,875,UTILITY,False,3.5
13140,KR_5997023628,84,TOP,False,1.5
13141,KR_5997023628,106,JUNGLE,False,1.6
13142,KR_5997023628,34,MIDDLE,False,0.75
13143,KR_5997023628,429,BOTTOM,False,0.75
13144,KR_5997023628,555,UTILITY,False,0.6666666666666666
13145,KR_5997023628,10,TOP,True,4.5
13146,KR_5997023628,234,JUNGLE,True,7.5
13147,KR_5997023628,101,MIDDLE,True,6.0
13148,KR_5997023628,81,BOTTOM,True,7.0
13149,KR_5997023628,497,UTILITY,True,8.5
13150,KR_5996976972,126,TOP,False,0.5
13151,KR_5996976972,234,JUNGLE,False,1.6
13152,KR_5996976972,61,MIDDLE,False,2.25
13153,KR_5996976972,29,BOTTOM,False,3.6666666666666665
13154,KR_5996976972,44,UTILITY,False,2.0
13155,KR_5996976972,39,TOP,True,2.5
13156,KR_5996976972,203,JUNGLE,True,2.25
13157,KR_5996976972,4,MIDDLE,True,8.5
13158,KR_5996976972,81,BOTTOM,True,3.6666666666666665
13159,KR_5996976972,147,UTILITY,True,7.5
13160,KR_5936592825,126,TOP,True,5.0
13161,KR_5936592825,28,JUNGLE,True,4.5
13162,KR_5936592825,90,MIDDLE,True,1.8333333333333333
13163,KR_5936592825,222,BOTTOM,True,5.0
13164,KR_5936592825,412,UTILITY,True,3.4
13165,KR_5936592825,62,TOP,False,2.0
13166,KR_5936592825,141,JUNGLE,False,2.0
13167,KR_5936592825,27,MIDDLE,False,1.5
13168,KR_5936592825,202,BOTTOM,False,1.125
13169,KR_5936592825,235,UTILITY,False,3.6
13170,KR_5997078168,887,TOP,False,1.0
